date,state,voteshare,pred
2020-04-30,mississippi,0.44460184304509903,
2020-05-01,mississippi,0.444647063241022,
2020-05-02,mississippi,0.444561019318806,
2020-05-03,mississippi,0.44294102868915297,
2020-05-04,mississippi,0.441541463810568,
2020-05-05,mississippi,0.44018839266927207,
2020-05-06,mississippi,0.441493650917597,
2020-05-07,mississippi,0.4428683998113979,
2020-05-08,mississippi,0.44174747393700003,
2020-05-09,mississippi,0.440494189409659,
2020-05-10,mississippi,0.43889660198124797,
2020-05-11,mississippi,0.434331789247316,
2020-05-12,mississippi,0.441736553847614,
2020-05-13,mississippi,0.43696556166600103,
2020-05-14,mississippi,0.4322062266393,
2020-05-15,mississippi,0.42757383503983604,
2020-05-16,mississippi,0.42355074020534,
2020-05-17,mississippi,0.420736898716129,
2020-05-18,mississippi,0.41810486289220294,
2020-05-19,mississippi,0.41308231520564503,
2020-05-20,mississippi,0.41350511603538,
2020-05-21,mississippi,0.41167045958518,
2020-05-22,mississippi,0.4148094264780471,
2020-05-23,mississippi,0.417790167866452,
2020-05-24,mississippi,0.420921101692795,
2020-05-25,mississippi,0.42185326998007,
2020-05-26,mississippi,0.42292279993465604,
2020-05-27,mississippi,0.419517792474186,
2020-05-28,mississippi,0.41914084816744795,
2020-05-29,mississippi,0.41887543610226197,
2020-05-30,mississippi,0.4186050067823479,
2020-05-31,mississippi,0.429313940293668,
2020-06-01,mississippi,0.44004214674877795,
2020-06-02,mississippi,0.448819759405132,
2020-06-03,mississippi,0.45224517827296995,
2020-06-04,mississippi,0.4525780617447411,
2020-06-05,mississippi,0.45287453788994103,
2020-06-06,mississippi,0.453153638967955,
2020-06-07,mississippi,0.45337226574163897,
2020-06-08,mississippi,0.45359952595782305,
2020-06-09,mississippi,0.454815613763624,
2020-06-10,mississippi,0.45112477781165505,
2020-06-11,mississippi,0.446466671775707,
2020-06-12,mississippi,0.44202615367064096,
2020-06-13,mississippi,0.437314718706147,
2020-06-14,mississippi,0.448168463074764,
2020-06-15,mississippi,0.45405687020160207,
2020-06-16,mississippi,0.4546402987322679,
2020-06-17,mississippi,0.46229810077980804,
2020-06-18,mississippi,0.469785392079522,
2020-06-19,mississippi,0.472114899284118,
2020-06-20,mississippi,0.46929678955631104,
2020-06-21,mississippi,0.46597973707577706,
2020-06-22,mississippi,0.462646309899105,
2020-06-23,mississippi,0.4592957286083979,
2020-06-24,mississippi,0.455949177505228,
2020-06-25,mississippi,0.452663475181431,
2020-06-26,mississippi,0.449455214765611,
2020-06-27,mississippi,0.446242553838005,
2020-06-28,mississippi,0.44524108889077296,
2020-06-29,mississippi,0.44714461065236605,
2020-06-30,mississippi,0.44875771056286895,
2020-07-01,mississippi,0.45078306620917497,
2020-07-02,mississippi,0.452770209186106,
2020-07-03,mississippi,0.45467882907917,
2020-07-04,mississippi,0.45246291356409996,
2020-07-05,mississippi,0.45041942183235795,
2020-07-06,mississippi,0.44845274042592,
2020-07-07,mississippi,0.444408279501427,
2020-07-08,mississippi,0.440463423564152,
2020-07-09,mississippi,0.44571414116515296,
2020-07-10,mississippi,0.44637191126523906,
2020-07-11,mississippi,0.447046451037631,
2020-07-12,mississippi,0.449738912857226,
2020-07-13,mississippi,0.44977197673052005,
2020-07-14,mississippi,0.44974247380471505,
2020-07-15,mississippi,0.44897215676515795,
2020-07-16,mississippi,0.44811748165671994,
2020-07-17,mississippi,0.447281798190435,
2020-07-18,mississippi,0.44663653648911206,
2020-07-19,mississippi,0.44610597063838,
2020-07-20,mississippi,0.447242083027556,
2020-07-21,mississippi,0.44817404959912105,
2020-07-22,mississippi,0.44536002436044203,
2020-07-23,mississippi,0.442441852378769,
2020-07-24,mississippi,0.44854183765090505,
2020-07-25,mississippi,0.44024207880721206,
2020-07-26,mississippi,0.44164905213788,
2020-07-27,mississippi,0.44301228561692796,
2020-07-28,mississippi,0.43942606599676703,
2020-07-29,mississippi,0.44931190350074107,
2020-07-30,mississippi,0.45605835056495203,
2020-07-31,mississippi,0.45502316233766205,
2020-08-01,mississippi,0.45134994842490206,
2020-08-02,mississippi,0.44939479609188704,
2020-08-03,mississippi,0.44736914569024705,
2020-08-04,mississippi,0.446540897876269,
2020-08-05,mississippi,0.44517684776139,
2020-08-06,mississippi,0.44357394782165294,
2020-08-07,mississippi,0.44401101366409296,
2020-08-08,mississippi,0.44207695296895005,
2020-08-09,mississippi,0.44751254562462395,
2020-08-10,mississippi,0.443788530375176,
2020-08-11,mississippi,0.440007549237177,
2020-08-12,mississippi,0.43970683355054496,
2020-08-13,mississippi,0.442220973292623,
2020-08-14,mississippi,0.444305307160257,
2020-08-15,mississippi,0.449677446537019,
2020-08-16,mississippi,0.454165184760416,
2020-08-17,mississippi,0.46273035518007205,
2020-08-18,mississippi,0.459695468093864,
2020-08-19,mississippi,0.45548304791315297,
2020-08-20,mississippi,0.45125511973957105,
2020-08-21,mississippi,0.447196122928733,
2020-08-22,mississippi,0.44297621037232005,
2020-08-23,mississippi,0.445546440673346,
2020-08-24,mississippi,0.449625942496117,
2020-08-25,mississippi,0.44553986137397295,
2020-08-26,mississippi,0.44440156683532595,
2020-08-27,mississippi,0.443345105059831,
2020-08-28,mississippi,0.443439075104579,
2020-08-29,mississippi,0.4428628327155171,
2020-08-30,mississippi,0.444747871185239,
2020-08-31,mississippi,0.438777082690197,
2020-09-01,mississippi,0.43745616814903004,
2020-09-02,mississippi,0.43613496570872395,
2020-09-03,mississippi,0.43889323194417296,
2020-09-04,mississippi,0.43890908706726395,
2020-09-05,mississippi,0.43543625657706103,
2020-09-06,mississippi,0.43533223895106005,
2020-09-07,mississippi,0.43546621592409096,
2020-09-08,mississippi,0.4277941830037151,
2020-09-09,mississippi,0.43577959848465503,
2020-09-10,mississippi,0.44423196495362105,
2020-09-11,mississippi,0.44370580594192,
2020-09-12,mississippi,0.445308966100278,
2020-09-13,mississippi,0.43604099470029295,
2020-09-14,mississippi,0.43993940459720393,
2020-09-15,mississippi,0.43472009183384097,
2020-09-16,mississippi,0.43483945205403707,
2020-09-17,mississippi,0.429545217880727,
2020-09-18,mississippi,0.43578539672833294,
2020-09-19,mississippi,0.435907718536338,
2020-09-20,mississippi,0.4357995914603449,0.0426666666666667
2020-09-21,mississippi,0.43956288812146904,
2020-09-22,mississippi,0.43830480270390704,
2020-09-23,mississippi,0.434918944753414,0.20775
2020-09-24,mississippi,0.438394735250216,
2020-09-25,mississippi,0.441571614045395,
2020-09-26,mississippi,0.438247710973175,
2020-09-27,mississippi,0.43370333070038797,
2020-09-28,mississippi,0.43333903721957706,0.22033333333333302
2020-09-29,mississippi,0.43316346880276896,
2020-09-30,mississippi,0.43766581857119397,
2020-10-01,mississippi,0.437880584092992,
2020-10-02,mississippi,0.43996867670125,
2020-10-03,mississippi,0.44243120061748104,
2020-10-04,mississippi,0.43879861346475707,0.192
2020-10-05,mississippi,0.438302887323391,
2020-10-06,mississippi,0.43185879286184603,
2020-10-07,mississippi,0.429051842547124,
2020-10-08,mississippi,0.431535082766504,
2020-10-09,mississippi,0.4323918654661649,
2020-10-10,mississippi,0.433280455211614,0.16025
2020-10-11,mississippi,0.432263366514183,
2020-10-12,mississippi,0.43456406837709205,
2020-10-13,mississippi,0.42916193668752095,
2020-10-14,mississippi,0.4278085098763689,
2020-10-15,mississippi,0.43723663162647297,
2020-10-16,mississippi,0.433034205258359,
2020-10-17,mississippi,0.43495524646120703,
2020-10-18,mississippi,0.43456574284536803,0.16783333333333303
2020-10-19,mississippi,0.43889384916426705,
2020-10-20,mississippi,0.435996932026181,
2020-10-21,mississippi,0.43012123690232895,
2020-10-22,mississippi,0.43051560738192296,
2020-10-23,mississippi,0.42890618570728795,0.1655
2020-10-24,mississippi,0.43004417642696796,0.156166666666667
2020-10-25,mississippi,0.432682312768609,
2020-10-26,mississippi,0.42988124988093707,0.19991666666666696
2020-10-27,mississippi,0.42879973476874106,
2020-10-28,mississippi,0.43003868110373994,0.0638333333333333
2020-10-29,mississippi,0.42707121788809205,
2020-10-30,mississippi,0.425813170461315,
2020-10-31,mississippi,0.42784307717039205,
2020-11-01,mississippi,0.42508914421117,0.04275
2020-11-02,mississippi,0.427623791943118,0.0484166666666667
2020-11-03,mississippi,0.43029716046921795,0.00658333333333333
2020-03-03,missouri,0.45517666512477795,
2020-03-04,missouri,0.454055471677606,
2020-03-05,missouri,0.453445918638258,
2020-03-06,missouri,0.452554064621451,
2020-03-07,missouri,0.453662456377455,
2020-03-08,missouri,0.4545180330477121,
2020-03-09,missouri,0.45545770654711404,
2020-03-10,missouri,0.4564205044122,
2020-03-11,missouri,0.45727099353616707,
2020-03-12,missouri,0.458101967946017,
2020-03-13,missouri,0.459072668314849,
2020-03-14,missouri,0.459970393764757,
2020-03-15,missouri,0.461006685090475,
2020-03-16,missouri,0.461906639401322,
2020-03-17,missouri,0.46297906039862896,
2020-03-18,missouri,0.46398495646658205,
2020-03-19,missouri,0.46435976788512795,
2020-03-20,missouri,0.464874782926329,
2020-03-21,missouri,0.465374239303447,
2020-03-22,missouri,0.4657152581985421,
2020-03-23,missouri,0.46618012833814704,
2020-03-24,missouri,0.4666737093086071,
2020-03-25,missouri,0.467140754552738,
2020-03-26,missouri,0.467408037391885,
2020-03-27,missouri,0.46755549762701,
2020-03-28,missouri,0.467715695223726,
2020-03-29,missouri,0.467890862177006,
2020-03-30,missouri,0.468129502912959,
2020-03-31,missouri,0.46840340818782794,
2020-04-01,missouri,0.46802906370053,
2020-04-02,missouri,0.467700315338425,
2020-04-03,missouri,0.467399376098103,
2020-04-04,missouri,0.46705999441341994,
2020-04-05,missouri,0.46680976011076203,
2020-04-06,missouri,0.46644552807938794,
2020-04-07,missouri,0.471963221338014,
2020-04-08,missouri,0.472023240472175,
2020-04-09,missouri,0.47215366124571795,
2020-04-10,missouri,0.47240571499153794,
2020-04-11,missouri,0.47328480720721106,
2020-04-12,missouri,0.4737907704867779,
2020-04-13,missouri,0.47408996821297206,
2020-04-14,missouri,0.47454278433145203,
2020-04-15,missouri,0.47677494481311106,
2020-04-16,missouri,0.475676639757386,
2020-04-17,missouri,0.474790377507947,
2020-04-18,missouri,0.47690288410195497,
2020-04-19,missouri,0.47892479439721003,
2020-04-20,missouri,0.480962972941529,
2020-04-21,missouri,0.483127510965539,
2020-04-22,missouri,0.48507501906937206,
2020-04-23,missouri,0.487203821856419,
2020-04-24,missouri,0.486847748199821,
2020-04-25,missouri,0.484879670098221,
2020-04-26,missouri,0.48314316459406703,
2020-04-27,missouri,0.482755106001369,
2020-04-28,missouri,0.48232741452009603,
2020-04-29,missouri,0.482352719079379,
2020-04-30,missouri,0.48246713267899105,
2020-05-01,missouri,0.482553701131956,
2020-05-02,missouri,0.48252268773627105,
2020-05-03,missouri,0.48108534892071503,
2020-05-04,missouri,0.47972090948855795,
2020-05-05,missouri,0.478433389361629,
2020-05-06,missouri,0.479828203846087,
2020-05-07,missouri,0.48128544665560796,
2020-05-08,missouri,0.480208317501094,
2020-05-09,missouri,0.479034240991271,
2020-05-10,missouri,0.477487810081665,
2020-05-11,missouri,0.4728855682742801,
2020-05-12,missouri,0.480546492611129,
2020-05-13,missouri,0.475867028282927,
2020-05-14,missouri,0.471094738504642,
2020-05-15,missouri,0.466364875494059,
2020-05-16,missouri,0.46229712575534,
2020-05-17,missouri,0.45956903517112896,
2020-05-18,missouri,0.45690477633754706,
2020-05-19,missouri,0.4518244783543529,
2020-05-20,missouri,0.45230707771069506,
2020-05-21,missouri,0.450467478582039,
2020-05-22,missouri,0.453807382913951,
2020-05-23,missouri,0.45690794097642295,
2020-05-24,missouri,0.46015651765478,
2020-05-25,missouri,0.461223198164746,
2020-05-26,missouri,0.46244706803395,
2020-05-27,missouri,0.457605410970649,
2020-05-28,missouri,0.4557798912064,
2020-05-29,missouri,0.454155283724975,
2020-05-30,missouri,0.452539272587466,
2020-05-31,missouri,0.46217205623129504,
2020-06-01,missouri,0.471729616722281,
2020-06-02,missouri,0.479206686688281,
2020-06-03,missouri,0.48119254659013005,
2020-06-04,missouri,0.479945487050698,
2020-06-05,missouri,0.47863719896414103,
2020-06-06,missouri,0.477410113362458,
2020-06-07,missouri,0.4759676885757121,
2020-06-08,missouri,0.474529241671627,
2020-06-09,missouri,0.4740387422539529,
2020-06-10,missouri,0.46877427086656104,
2020-06-11,missouri,0.46522616335116496,
2020-06-12,missouri,0.461708967773454,
2020-06-13,missouri,0.4580291643161839,
2020-06-14,missouri,0.46991063898986696,
2020-06-15,missouri,0.47684477341575704,
2020-06-16,missouri,0.47846928625339,
2020-06-17,missouri,0.48722073358676293,
2020-06-18,missouri,0.49572229502165205,
2020-06-19,missouri,0.499096579145502,
2020-06-20,missouri,0.495482770400283,
2020-06-21,missouri,0.491382311145373,
2020-06-22,missouri,0.487242612805534,
2020-06-23,missouri,0.48324027640262396,
2020-06-24,missouri,0.479214629797439,
2020-06-25,missouri,0.475160293269591,
2020-06-26,missouri,0.4712040727441671,
2020-06-27,missouri,0.46713994224395,
2020-06-28,missouri,0.466349291432286,
2020-06-29,missouri,0.46830679652531104,
2020-06-30,missouri,0.46997668014687705,
2020-07-01,missouri,0.47209157881839,
2020-07-02,missouri,0.474270118075123,
2020-07-03,missouri,0.47622970012635,
2020-07-04,missouri,0.47415758739025,
2020-07-05,missouri,0.472231075817293,
2020-07-06,missouri,0.47023153288318204,
2020-07-07,missouri,0.466279162079608,
2020-07-08,missouri,0.462417674158217,
2020-07-09,missouri,0.46788015691552504,
2020-07-10,missouri,0.46860466458317207,
2020-07-11,missouri,0.46936046738943504,
2020-07-12,missouri,0.472076602641399,
2020-07-13,missouri,0.47214526135473206,
2020-07-14,missouri,0.47217622059900394,
2020-07-15,missouri,0.471461114579807,
2020-07-16,missouri,0.47064551317260794,
2020-07-17,missouri,0.46987544934413,
2020-07-18,missouri,0.46940016735611795,
2020-07-19,missouri,0.46887869652503006,
2020-07-20,missouri,0.47004453768150106,
2020-07-21,missouri,0.47108453245863796,
2020-07-22,missouri,0.468344833749514,
2020-07-23,missouri,0.46552493496347497,
2020-07-24,missouri,0.471780421414578,
2020-07-25,missouri,0.463478756966933,
2020-07-26,missouri,0.46490718621361204,
2020-07-27,missouri,0.466336972565739,
2020-07-28,missouri,0.462851250518722,
2020-07-29,missouri,0.472785056216098,
2020-07-30,missouri,0.479575619916424,
2020-07-31,missouri,0.4786046875782561,
2020-08-01,missouri,0.47502431029482106,
2020-08-02,missouri,0.4731159906852629,
2020-08-03,missouri,0.471171383820779,
2020-08-04,missouri,0.47046737678062,
2020-08-05,missouri,0.46938160699760295,
2020-08-06,missouri,0.46797386207382596,
2020-08-07,missouri,0.468601410923943,
2020-08-08,missouri,0.466865156436905,
2020-08-09,missouri,0.47251651003875106,
2020-08-10,missouri,0.469004693053531,
2020-08-11,missouri,0.46528707402858294,
2020-08-12,missouri,0.46512358425356704,
2020-08-13,missouri,0.467905678124846,
2020-08-14,missouri,0.470274903948732,
2020-08-15,missouri,0.47583177300962604,
2020-08-16,missouri,0.480485312140707,
2020-08-17,missouri,0.48939443020525203,
2020-08-18,missouri,0.48659809465628706,
2020-08-19,missouri,0.482542659453396,
2020-08-20,missouri,0.47845369995882103,
2020-08-21,missouri,0.474420618878549,
2020-08-22,missouri,0.470455984626823,
2020-08-23,missouri,0.47324301441966,
2020-08-24,missouri,0.477512724172377,
2020-08-25,missouri,0.47361392539568603,
2020-08-26,missouri,0.472669674693795,
2020-08-27,missouri,0.47178269256242106,
2020-08-28,missouri,0.47206463231744,
2020-08-29,missouri,0.47173477170205896,
2020-08-30,missouri,0.47389012318756396,
2020-08-31,missouri,0.468205626126162,
2020-09-01,missouri,0.467342198542761,
2020-09-02,missouri,0.466375334758508,
2020-09-03,missouri,0.468890242432575,
2020-09-04,missouri,0.4686551864754339,
2020-09-05,missouri,0.464922685403525,
2020-09-06,missouri,0.464596663697109,
2020-09-07,missouri,0.464520519001365,
2020-09-08,missouri,0.456418184101175,
2020-09-09,missouri,0.46431715568637105,
2020-09-10,missouri,0.47267100761620595,
2020-09-11,missouri,0.47191367546647706,
2020-09-12,missouri,0.473350330610633,
2020-09-13,missouri,0.4637592644555061,
2020-09-14,missouri,0.467417894560968,
2020-09-15,missouri,0.46191647583382206,
2020-09-16,missouri,0.46180586162288795,
2020-09-17,missouri,0.45690122846209397,
2020-09-18,missouri,0.46357145641233005,
2020-09-19,missouri,0.464110023044488,
2020-09-20,missouri,0.4644122313597321,0.054000000000000006
2020-09-21,missouri,0.468612533359344,
2020-09-22,missouri,0.46766253946156705,
2020-09-23,missouri,0.46463531127759206,0.20991666666666697
2020-09-24,missouri,0.468574897820741,
2020-09-25,missouri,0.472170896807051,
2020-09-26,missouri,0.46910981660029605,
2020-09-27,missouri,0.464837688860432,
2020-09-28,missouri,0.46486977141607,0.20891666666666697
2020-09-29,missouri,0.46515598540905295,
2020-09-30,missouri,0.47002078671121295,
2020-10-01,missouri,0.47064768441175,
2020-10-02,missouri,0.47302732517257795,
2020-10-03,missouri,0.47588670961056107,
2020-10-04,missouri,0.47263663646186604,0.21591666666666698
2020-10-05,missouri,0.472526747078351,
2020-10-06,missouri,0.46639126471601394,
2020-10-07,missouri,0.463748231862133,
2020-10-08,missouri,0.466564136718975,
2020-10-09,missouri,0.467757843920118,
2020-10-10,missouri,0.46895819725317,0.18533333333333302
2020-10-11,missouri,0.468250585363572,
2020-10-12,missouri,0.470919740336546,
2020-10-13,missouri,0.465684565901537,
2020-10-14,missouri,0.46461450110710906,
2020-10-15,missouri,0.473889779892935,
2020-10-16,missouri,0.46921668525559,
2020-10-17,missouri,0.47075344667163593,
2020-10-18,missouri,0.469975843137474,0.17416666666666697
2020-10-19,missouri,0.47389882541546596,
2020-10-20,missouri,0.47057727091335794,
2020-10-21,missouri,0.46418386837381,
2020-10-22,missouri,0.464151600536698,
2020-10-23,missouri,0.462163175553514,0.1825
2020-10-24,missouri,0.46291597758702097,0.17133333333333303
2020-10-25,missouri,0.46493253476347707,
2020-10-26,missouri,0.46142101745113107,0.239083333333333
2020-10-27,missouri,0.46103795554295396,
2020-10-28,missouri,0.46302871182288297,0.19933333333333303
2020-10-29,missouri,0.458794108363623,
2020-10-30,missouri,0.45641085439278295,
2020-10-31,missouri,0.457355162739764,
2020-11-01,missouri,0.453403532967364,0.18441666666666698
2020-11-02,missouri,0.454937141736512,0.18441666666666698
2020-11-03,missouri,0.45638476969882,0.0484166666666667
2020-03-03,montana,0.44906883794085295,
2020-03-04,montana,0.447884464058223,
2020-03-05,montana,0.447179965969015,
2020-03-06,montana,0.446377121413038,
2020-03-07,montana,0.447456565192947,
2020-03-08,montana,0.448344317083757,
2020-03-09,montana,0.44934267791239096,
2020-03-10,montana,0.45026475580552205,
2020-03-11,montana,0.45108054526443697,
2020-03-12,montana,0.45201392309695704,
2020-03-13,montana,0.45289753491065005,
2020-03-14,montana,0.453826816123637,
2020-03-15,montana,0.45483727361223797,
2020-03-16,montana,0.455747090823794,
2020-03-17,montana,0.45679831261298204,
2020-03-18,montana,0.457847826760818,
2020-03-19,montana,0.458299308289708,
2020-03-20,montana,0.45886609909799003,
2020-03-21,montana,0.459308918280427,
2020-03-22,montana,0.459744377903731,
2020-03-23,montana,0.46033133724545394,
2020-03-24,montana,0.460812030721324,
2020-03-25,montana,0.46133118793015293,
2020-03-26,montana,0.46168671241158704,
2020-03-27,montana,0.461965862053811,
2020-03-28,montana,0.462023783424053,
2020-03-29,montana,0.462166950730075,
2020-03-30,montana,0.462437791911721,
2020-03-31,montana,0.46271928542054797,
2020-04-01,montana,0.4624071025605229,
2020-04-02,montana,0.462038355249139,
2020-04-03,montana,0.461731551255596,
2020-04-04,montana,0.46133277104195,
2020-04-05,montana,0.46102709850079104,
2020-04-06,montana,0.460622291222591,
2020-04-07,montana,0.46615073716271005,
2020-04-08,montana,0.46627974526672294,
2020-04-09,montana,0.4663506816563471,
2020-04-10,montana,0.46656471837429403,
2020-04-11,montana,0.467554329070409,
2020-04-12,montana,0.468092452929889,
2020-04-13,montana,0.46835441417059104,
2020-04-14,montana,0.46877404347440504,
2020-04-15,montana,0.470991855615265,
2020-04-16,montana,0.469816117012796,
2020-04-17,montana,0.4689092316728479,
2020-04-18,montana,0.470964794425522,
2020-04-19,montana,0.473009346241358,
2020-04-20,montana,0.475030722881406,
2020-04-21,montana,0.477223718329551,
2020-04-22,montana,0.47922242070432297,
2020-04-23,montana,0.48147554740453796,
2020-04-24,montana,0.481107489432197,
2020-04-25,montana,0.47916903366919705,
2020-04-26,montana,0.47735213120581105,
2020-04-27,montana,0.4769234252172121,
2020-04-28,montana,0.476594612982043,
2020-04-29,montana,0.47663742635294,
2020-04-30,montana,0.47669338103754205,
2020-05-01,montana,0.476843782799253,
2020-05-02,montana,0.47691216293355704,
2020-05-03,montana,0.4754449033809,
2020-05-04,montana,0.474190081445053,
2020-05-05,montana,0.472847203324762,
2020-05-06,montana,0.47430114983945204,
2020-05-07,montana,0.47574894754572794,
2020-05-08,montana,0.47474807975704997,
2020-05-09,montana,0.47352555037249,
2020-05-10,montana,0.47194382128065204,
2020-05-11,montana,0.46742628186255003,
2020-05-12,montana,0.47501329845895,
2020-05-13,montana,0.470323326117199,
2020-05-14,montana,0.465528039153235,
2020-05-15,montana,0.46079384069076895,
2020-05-16,montana,0.45681396389088896,
2020-05-17,montana,0.45407674520837105,
2020-05-18,montana,0.451500284448364,
2020-05-19,montana,0.446510360207048,
2020-05-20,montana,0.44708078919466704,
2020-05-21,montana,0.445285809349566,
2020-05-22,montana,0.448697596928053,
2020-05-23,montana,0.451832505886104,
2020-05-24,montana,0.45505608096849004,
2020-05-25,montana,0.456149118988851,
2020-05-26,montana,0.45730110141301294,
2020-05-27,montana,0.453980216589776,
2020-05-28,montana,0.453569123862947,
2020-05-29,montana,0.453412888553615,
2020-05-30,montana,0.45317897328842893,
2020-05-31,montana,0.4641855628910129,
2020-06-01,montana,0.475037415296544,
2020-06-02,montana,0.48390383583115293,
2020-06-03,montana,0.487402774987242,
2020-06-04,montana,0.487619731644331,
2020-06-05,montana,0.48780678715877207,
2020-06-06,montana,0.488064757324641,
2020-06-07,montana,0.488207980076565,
2020-06-08,montana,0.48830116182354705,
2020-06-09,montana,0.4893496372923011,
2020-06-10,montana,0.48551774925553903,
2020-06-11,montana,0.480698983286039,
2020-06-12,montana,0.476138217759706,
2020-06-13,montana,0.471205115043891,
2020-06-14,montana,0.48193146416375,
2020-06-15,montana,0.487731497649635,
2020-06-16,montana,0.488234057214197,
2020-06-17,montana,0.495831655173174,
2020-06-18,montana,0.503126913317329,
2020-06-19,montana,0.505281051531455,
2020-06-20,montana,0.502337438201534,
2020-06-21,montana,0.4989233552092461,
2020-06-22,montana,0.49539860144733705,
2020-06-23,montana,0.49196460383709995,
2020-06-24,montana,0.488480649559907,
2020-06-25,montana,0.48493055310021005,
2020-06-26,montana,0.481563284271495,
2020-06-27,montana,0.478126346160789,
2020-06-28,montana,0.477134861552459,
2020-06-29,montana,0.4789684572080421,
2020-06-30,montana,0.48041781805529604,
2020-07-01,montana,0.48231570541885205,
2020-07-02,montana,0.4842609722422829,
2020-07-03,montana,0.48596527187899796,
