date,state,pred
2020-11-04T15:06:37Z,Nevada,0.91
2020-11-04T15:06:37Z,New Hampshire,0.0
2020-11-04T15:06:37Z,New Jersey,0.99
2020-11-04T15:06:37Z,New Mexico,0.0
2020-11-04T15:06:37Z,New York,0.99
2020-11-04T15:06:37Z,North Carolina,0.17
2020-11-04T15:06:37Z,North Dakota,0.01
2020-11-04T15:06:37Z,Ohio,0.02
2020-11-04T15:06:37Z,Oklahoma,0.01
2020-11-04T15:06:37Z,Oregon,0.0
2020-11-04T15:06:37Z,Pennsylvania,0.7
2020-11-04T15:06:37Z,Rhode Island,0.0
2020-11-04T15:06:37Z,South Carolina,0.01
2020-11-04T15:06:37Z,South Dakota,0.01
2020-11-04T15:06:37Z,Tennessee,0.01
2020-11-04T15:06:37Z,Texas,0.03
2020-11-04T15:06:37Z,Utah,0.01
2020-11-04T15:06:37Z,Vermont,0.0
2020-11-04T15:06:37Z,Virginia,0.0
2020-11-04T15:06:37Z,Washington,0.0
2020-11-04T15:06:37Z,West Virginia,0.01
2020-11-04T15:06:37Z,Wisconsin,0.95
2020-11-04T15:06:37Z,Wyoming,0.01
2020-11-04T13:40:43Z,Alabama,0.01
2020-11-04T13:40:43Z,Alaska,0.02
2020-11-04T13:40:43Z,Arizona,0.97
2020-11-04T13:40:43Z,Arkansas,0.01
2020-11-04T13:40:43Z,California,0.99
2020-11-04T13:40:43Z,Colorado,0.0
2020-11-04T13:40:43Z,Connecticut,0.0
2020-11-04T13:40:43Z,DC,0.0
2020-11-04T13:40:43Z,Delaware,0.0
2020-11-04T13:40:43Z,Florida,0.02
2020-11-04T13:40:43Z,Georgia,0.55
2020-11-04T13:40:43Z,Hawaii,0.0
2020-11-04T13:40:43Z,Idaho,0.01
2020-11-04T13:40:43Z,Illinois,0.0
2020-11-04T13:40:43Z,Indiana,0.01
2020-11-04T13:40:43Z,Iowa,0.01
2020-11-04T13:40:43Z,Kansas,0.01
2020-11-04T13:40:43Z,Kentucky,0.01
2020-11-04T13:40:43Z,Louisiana,0.01
2020-11-04T13:40:43Z,ME-01,0.99
2020-11-04T13:40:43Z,ME-02,0.2
2020-11-04T13:40:43Z,Maine,0.0
2020-11-04T13:40:43Z,Maryland,0.0
2020-11-04T13:40:43Z,Massachusetts,0.0
2020-11-04T13:40:43Z,Michigan,0.89
2020-11-04T13:40:43Z,Minnesota,0.99
2020-11-04T13:40:43Z,Mississippi,0.01
2020-11-04T13:40:43Z,Missouri,0.01
2020-11-04T13:40:43Z,Montana,0.01
2020-11-04T13:40:43Z,NE-01,0.02
2020-11-04T13:40:43Z,NE-02,0.0
2020-11-04T13:40:43Z,NE-03,0.01
2020-11-04T13:40:43Z,Nebraska,0.01
2020-11-04T13:40:43Z,Nevada,0.9
2020-11-04T13:40:43Z,New Hampshire,0.0
2020-11-04T13:40:43Z,New Jersey,0.0
2020-11-04T13:40:43Z,New Mexico,0.0
2020-11-04T13:40:43Z,New York,0.99
2020-11-04T13:40:43Z,North Carolina,0.14
2020-11-04T13:40:43Z,North Dakota,0.01
2020-11-04T13:40:43Z,Ohio,0.03
2020-11-04T13:40:43Z,Oklahoma,0.01
2020-11-04T13:40:43Z,Oregon,0.0
2020-11-04T13:40:43Z,Pennsylvania,0.64
2020-11-04T13:40:43Z,Rhode Island,0.0
2020-11-04T13:40:43Z,South Carolina,0.01
2020-11-04T13:40:43Z,South Dakota,0.01
2020-11-04T13:40:43Z,Tennessee,0.01
2020-11-04T13:40:43Z,Texas,0.02
2020-11-04T13:40:43Z,Utah,0.01
2020-11-04T13:40:43Z,Vermont,0.0
2020-11-04T13:40:43Z,Virginia,0.0
2020-11-04T13:40:43Z,Washington,0.0
2020-11-04T13:40:43Z,West Virginia,0.01
2020-11-04T13:40:43Z,Wisconsin,0.92
2020-11-04T13:40:43Z,Wyoming,0.01
2020-11-03T13:40:44Z,Alabama,0.04
2020-11-03T13:40:44Z,Alaska,0.1
2020-11-03T13:40:44Z,Arizona,0.54
2020-11-03T13:40:44Z,Arkansas,0.03
2020-11-03T13:40:44Z,California,0.95
2020-11-03T13:40:44Z,Colorado,0.91
2020-11-03T13:40:44Z,Connecticut,0.95
2020-11-03T13:40:44Z,DC,0.98
2020-11-03T13:40:44Z,Delaware,0.95
2020-11-03T13:40:44Z,Florida,0.41
2020-11-03T13:40:44Z,Georgia,0.41
2020-11-03T13:40:44Z,Hawaii,0.95
2020-11-03T13:40:44Z,Idaho,0.03
2020-11-03T13:40:44Z,Illinois,0.95
2020-11-03T13:40:44Z,Indiana,0.07
2020-11-03T13:40:44Z,Iowa,0.25
2020-11-03T13:40:44Z,Kansas,0.06
2020-11-03T13:40:44Z,Kentucky,0.04
2020-11-03T13:40:44Z,Louisiana,0.05
2020-11-03T13:40:44Z,ME-01,0.92
2020-11-03T13:40:44Z,ME-02,0.46
2020-11-03T13:40:44Z,Maine,0.89
2020-11-03T13:40:44Z,Maryland,0.95
2020-11-03T13:40:44Z,Massachusetts,0.96
2020-11-03T13:40:44Z,Michigan,0.73
2020-11-03T13:40:44Z,Minnesota,0.76
2020-11-03T13:40:44Z,Mississippi,0.06
2020-11-03T13:40:44Z,Missouri,0.06
2020-11-03T13:40:44Z,Montana,0.13
2020-11-03T13:40:44Z,NE-01,0.09
2020-11-03T13:40:44Z,NE-02,0.74
2020-11-03T13:40:44Z,NE-03,0.01
2020-11-03T13:40:44Z,Nebraska,0.05
2020-11-03T13:40:44Z,Nevada,0.73
2020-11-03T13:40:44Z,New Hampshire,0.78
2020-11-03T13:40:44Z,New Jersey,0.94
2020-11-03T13:40:44Z,New Mexico,0.9
2020-11-03T13:40:44Z,New York,0.94
2020-11-03T13:40:44Z,North Carolina,0.5
2020-11-03T13:40:44Z,North Dakota,0.04
2020-11-03T13:40:44Z,Ohio,0.27
2020-11-03T13:40:44Z,Oklahoma,0.03
2020-11-03T13:40:44Z,Oregon,0.92
2020-11-03T13:40:44Z,Pennsylvania,0.61
2020-11-03T13:40:44Z,Rhode Island,0.95
2020-11-03T13:40:44Z,South Carolina,0.08
2020-11-03T13:40:44Z,South Dakota,0.04
2020-11-03T13:40:44Z,Tennessee,0.04
2020-11-03T13:40:44Z,Texas,0.27
2020-11-03T13:40:44Z,Utah,0.06
2020-11-03T13:40:44Z,Vermont,0.95
2020-11-03T13:40:44Z,Virginia,0.89
2020-11-03T13:40:44Z,Washington,0.94
2020-11-03T13:40:44Z,West Virginia,0.03
2020-11-03T13:40:44Z,Wisconsin,0.74
2020-11-03T13:40:44Z,Wyoming,0.02
2020-11-02T13:40:42Z,Alabama,0.03
2020-11-02T13:40:42Z,Alaska,0.11
2020-11-02T13:40:42Z,Arizona,0.55
2020-11-02T13:40:42Z,Arkansas,0.02
2020-11-02T13:40:42Z,California,0.94
2020-11-02T13:40:42Z,Colorado,0.9
2020-11-02T13:40:42Z,Connecticut,0.95
2020-11-02T13:40:42Z,DC,0.97
2020-11-02T13:40:42Z,Delaware,0.94
2020-11-02T13:40:42Z,Florida,0.45
2020-11-02T13:40:42Z,Georgia,0.43
2020-11-02T13:40:42Z,Hawaii,0.95
2020-11-02T13:40:42Z,Idaho,0.03
2020-11-02T13:40:42Z,Illinois,0.95
2020-11-02T13:40:42Z,Indiana,0.05
2020-11-02T13:40:42Z,Iowa,0.28
2020-11-02T13:40:42Z,Kansas,0.05
2020-11-02T13:40:42Z,Kentucky,0.04
2020-11-02T13:40:42Z,Louisiana,0.03
2020-11-02T13:40:42Z,ME-01,0.97
2020-11-02T13:40:42Z,ME-02,0.46
2020-11-02T13:40:42Z,Maine,0.89
2020-11-02T13:40:42Z,Maryland,0.95
2020-11-02T13:40:42Z,Massachusetts,0.95
2020-11-02T13:40:42Z,Michigan,0.71
2020-11-02T13:40:42Z,Minnesota,0.76
2020-11-02T13:40:42Z,Mississippi,0.05
2020-11-02T13:40:42Z,Missouri,0.07
2020-11-02T13:40:42Z,Montana,0.11
2020-11-02T13:40:42Z,NE-01,0.08
2020-11-02T13:40:42Z,NE-02,0.71
2020-11-02T13:40:42Z,NE-03,0.02
2020-11-02T13:40:42Z,Nebraska,0.05
2020-11-02T13:40:42Z,Nevada,0.79
2020-11-02T13:40:42Z,New Hampshire,0.77
2020-11-02T13:40:42Z,New Jersey,0.94
2020-11-02T13:40:42Z,New Mexico,0.89
2020-11-02T13:40:42Z,New York,0.94
2020-11-02T13:40:42Z,North Carolina,0.49
2020-11-02T13:40:42Z,North Dakota,0.04
2020-11-02T13:40:42Z,Ohio,0.31
2020-11-02T13:40:42Z,Oklahoma,0.03
2020-11-02T13:40:42Z,Oregon,0.93
2020-11-02T13:40:42Z,Pennsylvania,0.62
2020-11-02T13:40:42Z,Rhode Island,0.96
2020-11-02T13:40:42Z,South Carolina,0.07
2020-11-02T13:40:42Z,South Dakota,0.04
2020-11-02T13:40:42Z,Tennessee,0.04
2020-11-02T13:40:42Z,Texas,0.3
2020-11-02T13:40:42Z,Utah,0.04
2020-11-02T13:40:42Z,Vermont,0.95
2020-11-02T13:40:42Z,Virginia,0.91
2020-11-02T13:40:42Z,Washington,0.95
2020-11-02T13:40:42Z,West Virginia,0.03
2020-11-02T13:40:42Z,Wisconsin,0.72
2020-11-02T13:40:42Z,Wyoming,0.03
2020-11-02T13:30:34Z,Alabama,0.03
2020-11-02T13:30:34Z,Alaska,0.12
2020-11-02T13:30:34Z,Arizona,0.58
2020-11-02T13:30:34Z,Arkansas,0.03
2020-11-02T13:30:34Z,California,0.95
2020-11-02T13:30:34Z,Colorado,0.92
2020-11-02T13:30:34Z,Connecticut,0.96
2020-11-02T13:30:34Z,DC,0.99
2020-11-02T13:30:34Z,Delaware,0.96
2020-11-02T13:30:34Z,Florida,0.44
2020-11-02T13:30:34Z,Georgia,0.42
2020-11-02T13:30:34Z,Hawaii,0.95
2020-11-02T13:30:34Z,Idaho,0.04
2020-11-02T13:30:34Z,Illinois,0.96
2020-11-02T13:30:34Z,Indiana,0.05
2020-11-02T13:30:34Z,Iowa,0.28
2020-11-02T13:30:34Z,Kansas,0.06
2020-11-02T13:30:34Z,Kentucky,0.04
2020-11-02T13:30:34Z,Louisiana,0.03
2020-11-02T13:30:34Z,ME-01,0.97
2020-11-02T13:30:34Z,ME-02,0.46
2020-11-02T13:30:34Z,Maine,0.91
2020-11-02T13:30:34Z,Maryland,0.96
2020-11-02T13:30:34Z,Massachusetts,0.96
2020-11-02T13:30:34Z,Michigan,0.71
2020-11-02T13:30:34Z,Minnesota,0.76
2020-11-02T13:30:34Z,Mississippi,0.05
2020-11-02T13:30:34Z,Missouri,0.07
2020-11-02T13:30:34Z,Montana,0.11
2020-11-02T13:30:34Z,NE-01,0.08
