date,state,pred,voteshare
2020-11-01,illinois,0.99975,0.587886825875
2020-11-01,indiana,0.000625,0.43110196862499994
2020-11-01,kansas,0.003625,0.441010320125
2020-11-01,kentucky,0.0,0.39625014025
2020-11-01,louisiana,0.0005,0.4284169085
2020-11-01,massachusetts,1.0,0.6773474740000001
2020-11-01,maryland,1.0,0.6595543323749999
2020-11-01,maine,0.9995,0.56525719525
2020-11-01,michigan,0.9785,0.541231486625
2020-11-01,minnesota,0.99025,0.546962837625
2020-11-01,missouri,0.02325,0.45745743725
2020-11-01,mississippi,0.005375,0.44139745325
2020-11-01,montana,0.015,0.454158991
2020-11-01,north carolina,0.711125,0.511488419375
2020-11-01,north dakota,0.0,0.375397218125
2020-11-01,nebraska,0.00025,0.417292512375
2020-11-01,new hampshire,0.98325,0.5441274225
2020-11-01,new jersey,1.0,0.60303789425
2020-11-01,new mexico,0.996625,0.562784458375
2020-11-01,nevada,0.938,0.5334373425
2020-11-01,new york,1.0,0.648321401
2020-11-01,ohio,0.375375,0.49360826112499995
2020-11-01,oklahoma,0.0,0.365744172125
2020-11-01,oregon,0.999875,0.592083833375
2020-11-01,pennsylvania,0.935625,0.530905497
2020-11-01,rhode island,1.0,0.62477202025
2020-11-01,south carolina,0.02675,0.458562150625
2020-11-01,south dakota,0.0,0.408977137125
2020-11-01,tennessee,0.000125,0.41318286049999997
2020-11-01,texas,0.271875,0.48665698175
2020-11-01,utah,0.000375,0.41733821525
2020-11-01,virginia,0.997375,0.558246067875
2020-11-01,vermont,1.0,0.680291785125
2020-11-01,washington,1.0,0.6235117486249999
2020-11-01,wisconsin,0.97575,0.539821953125
2020-11-01,west virginia,0.0,0.35507135325000005
2020-11-01,wyoming,0.0,0.308249327125
2020-10-31,alaska,0.06125,0.46540521875
2020-10-31,alabama,0.0,0.4060032265
2020-10-31,arkansas,0.0,0.387085187875
2020-10-31,arizona,0.7435,0.5142555885
2020-10-31,california,1.0,0.66963516525
2020-10-31,colorado,0.998125,0.5630398555
2020-10-31,connecticut,1.0,0.6212264805
2020-10-31,District of Columbia,1.0,0.9549443105
2020-10-31,delaware,1.0,0.606475947625
2020-10-31,florida,0.769125,0.514803109375
2020-10-31,georgia,0.575875,0.50414792225
2020-10-31,hawaii,1.0,0.6873677791249999
2020-10-31,iowa,0.456,0.497840314
2020-10-31,idaho,0.0,0.37469434775
2020-10-31,illinois,0.999875,0.58814503
2020-10-31,indiana,0.002125,0.43187617825
2020-10-31,kansas,0.005,0.441785064125
2020-10-31,kentucky,0.0,0.39696136299999996
2020-10-31,louisiana,0.0005,0.428929075625
2020-10-31,massachusetts,1.0,0.676744149375
2020-10-31,maryland,1.0,0.6602246589999999
2020-10-31,maine,0.99825,0.565304939625
2020-10-31,michigan,0.980625,0.5423962115
2020-10-31,minnesota,0.985125,0.546486839625
2020-10-31,missouri,0.02725,0.45815824200000005
2020-10-31,mississippi,0.006375,0.44220220237499996
2020-10-31,montana,0.01775,0.454483264375
2020-10-31,north carolina,0.7135,0.51170996825
2020-10-31,north dakota,0.0,0.37599065075000004
2020-10-31,nebraska,0.000625,0.41809321075000005
2020-10-31,new hampshire,0.98025,0.54462307125
2020-10-31,new jersey,1.0,0.60282978425
2020-10-31,new mexico,0.995,0.563654560625
2020-10-31,nevada,0.93525,0.532993525875
2020-10-31,new york,1.0,0.6481812570000001
2020-10-31,ohio,0.39475,0.49430622375
2020-10-31,oklahoma,0.0,0.36666798525
2020-10-31,oregon,1.0,0.591897151875
2020-10-31,pennsylvania,0.9375,0.531380109875
2020-10-31,rhode island,1.0,0.623724279875
2020-10-31,south carolina,0.028375,0.459558907375
2020-10-31,south dakota,0.0005,0.41029317525
2020-10-31,tennessee,0.0,0.41347385
2020-10-31,texas,0.279625,0.4875073725
2020-10-31,utah,0.000375,0.41761354725
2020-10-31,virginia,0.99575,0.558513555375
2020-10-31,vermont,1.0,0.6804106773749999
2020-10-31,washington,1.0,0.623096991625
2020-10-31,wisconsin,0.96975,0.539456403375
2020-10-31,west virginia,0.0,0.355573693375
2020-10-31,wyoming,0.0,0.308768760875
2020-10-30,alaska,0.052125,0.463399735725
2020-10-30,alabama,2.5e-05,0.404723898525
2020-10-30,arkansas,0.0,0.38586751472499997
2020-10-30,arizona,0.754425,0.5149895315999999
2020-10-30,california,1.0,0.670834236475
2020-10-30,colorado,0.9975,0.562822135875
2020-10-30,connecticut,1.0,0.62250656385
2020-10-30,District of Columbia,1.0,0.9559359264749999
2020-10-30,delaware,1.0,0.60755822615
2020-10-30,florida,0.75215,0.51449676155
2020-10-30,georgia,0.57775,0.5040749379999999
2020-10-30,hawaii,1.0,0.68697545775
2020-10-30,iowa,0.45075,0.49723161085
2020-10-30,idaho,0.0,0.37070241502499995
2020-10-30,illinois,0.9999,0.5894308433
2020-10-30,indiana,0.0008,0.43029040112499994
2020-10-30,kansas,0.0031,0.440499344475
2020-10-30,kentucky,0.0,0.395191311675
2020-10-30,louisiana,0.001,0.42804451185000003
2020-10-30,massachusetts,1.0,0.6788707957250001
2020-10-30,maryland,1.0,0.66116409995
2020-10-30,maine,0.998975,0.56535927125
2020-10-30,michigan,0.976975,0.541257618925
2020-10-30,minnesota,0.982275,0.545435290625
2020-10-30,missouri,0.0239,0.45602803255
2020-10-30,mississippi,0.00555,0.44139362607500005
2020-10-30,montana,0.01615,0.453823414225
2020-10-30,north carolina,0.687,0.510189623525
2020-10-30,north dakota,0.0,0.37287095955
2020-10-30,nebraska,0.0002,0.41491324245
2020-10-30,new hampshire,0.976775,0.5439119088750001
2020-10-30,new jersey,0.999975,0.60441171555
2020-10-30,new mexico,0.9967,0.564430834625
2020-10-30,nevada,0.93185,0.5324644362
2020-10-30,new york,1.0,0.649667013975
2020-10-30,ohio,0.377175,0.49336438689999995
2020-10-30,oklahoma,0.0,0.3650373372
2020-10-30,oregon,0.99995,0.59250772805
2020-10-30,pennsylvania,0.93215,0.531371478125
2020-10-30,rhode island,1.0,0.623941632725
2020-10-30,south carolina,0.02565,0.45829906972499995
2020-10-30,south dakota,2.5e-05,0.40869767455
2020-10-30,tennessee,5e-05,0.41214252924999994
2020-10-30,texas,0.245425,0.48515117020000004
2020-10-30,utah,2.5e-05,0.40756788715000003
2020-10-30,virginia,0.995775,0.55988925015
2020-10-30,vermont,1.0,0.681468317625
2020-10-30,washington,1.0,0.62364794275
2020-10-30,wisconsin,0.96935,0.539443724175
2020-10-30,west virginia,0.0,0.354366610625
2020-10-30,wyoming,0.0,0.300088056325
2020-10-29,alaska,0.05085,0.462865333325
2020-10-29,alabama,2.5e-05,0.40451769097499995
2020-10-29,arkansas,0.0,0.38564502125
2020-10-29,arizona,0.75175,0.5147105117
2020-10-29,california,1.0,0.6750167313500001
2020-10-29,colorado,0.9974,0.562203988275
2020-10-29,connecticut,1.0,0.6130530904
2020-10-29,District of Columbia,1.0,0.9564331829
2020-10-29,delaware,1.0,0.606650396975
2020-10-29,florida,0.7753,0.51612771755
2020-10-29,georgia,0.5476,0.502568079
2020-10-29,hawaii,1.0,0.6880038997750001
2020-10-29,iowa,0.451475,0.497396534975
2020-10-29,idaho,0.0,0.371642075975
2020-10-29,illinois,0.99995,0.5969227555
2020-10-29,indiana,0.001125,0.42999981327500003
2020-10-29,kansas,0.003825,0.440803663175
2020-10-29,kentucky,2.5e-05,0.395802510125
2020-10-29,louisiana,0.00085,0.427541553525
2020-10-29,massachusetts,1.0,0.675548673225
2020-10-29,maryland,1.0,0.65896454315
2020-10-29,maine,0.99845,0.5654265997
2020-10-29,michigan,0.970525,0.5397713832
2020-10-29,minnesota,0.983425,0.54565782315
2020-10-29,missouri,0.026175,0.45679090424999996
2020-10-29,mississippi,0.0049,0.4393222912
2020-10-29,montana,0.017275,0.4538214235
2020-10-29,north carolina,0.686025,0.510300549925
2020-10-29,north dakota,0.0,0.37304860045000005
2020-10-29,nebraska,0.0003,0.4150447522
2020-10-29,new hampshire,0.97835,0.545058973975
2020-10-29,new jersey,0.999975,0.6001935685249999
2020-10-29,new mexico,0.99655,0.565456756725
2020-10-29,nevada,0.93295,0.53339714065
2020-10-29,new york,1.0,0.645140933025
2020-10-29,ohio,0.416275,0.495542221975
2020-10-29,oklahoma,0.0,0.3641609466
2020-10-29,oregon,1.0,0.592314881425
2020-10-29,pennsylvania,0.932025,0.5313487703750001
2020-10-29,rhode island,1.0,0.623601021925
2020-10-29,south carolina,0.029775,0.45866793340000006
2020-10-29,south dakota,0.0001,0.40838798704999996
2020-10-29,tennessee,0.00015,0.413093689975
2020-10-29,texas,0.26245,0.485970698675
2020-10-29,utah,5e-05,0.407202825075
2020-10-29,virginia,0.9962,0.56038928145
2020-10-29,vermont,1.0,0.679762112125
2020-10-29,washington,1.0,0.62321787505
2020-10-29,wisconsin,0.96815,0.539292130075
2020-10-29,west virginia,0.0,0.354514806725
2020-10-29,wyoming,0.0,0.30000953115
2020-10-28,alaska,0.110625,0.471054932125
2020-10-28,alabama,0.0,0.40608946175
2020-10-28,arkansas,0.0,0.38899220375
2020-10-28,arizona,0.76225,0.515794889
2020-10-28,california,1.0,0.6740486052500001
2020-10-28,colorado,0.99825,0.5653926995
2020-10-28,connecticut,1.0,0.613589687125
2020-10-28,District of Columbia,1.0,0.9546681861249999
2020-10-28,delaware,1.0,0.6073000163750001
2020-10-28,florida,0.779,0.51718484975
2020-10-28,georgia,0.535625,0.501895131625
2020-10-28,hawaii,1.0,0.686329931875
2020-10-28,iowa,0.563625,0.50322065225
2020-10-28,idaho,0.0,0.376591380875
2020-10-28,illinois,1.0,0.597837012125
2020-10-28,indiana,0.0015,0.433590913125
2020-10-28,kansas,0.005375,0.4442210275
2020-10-28,kentucky,0.0,0.39929803025
2020-10-28,louisiana,0.000875,0.42748017850000003
2020-10-28,massachusetts,1.0,0.6751782363750001
2020-10-28,maryland,1.0,0.659252958375
2020-10-28,maine,0.9995,0.56864023825
2020-10-28,michigan,0.976,0.542090400375
2020-10-28,minnesota,0.99025,0.550187737
2020-10-28,missouri,0.03575,0.45961324775
2020-10-28,mississippi,0.004875,0.43937906525
