"date","CILeft","CIRight","Pred","Poll"
"2020-03-03",0.549940997155864,0.447966811250333,0.498953904203098,NA
"2020-03-04",0.545486135297196,0.450671112941242,0.498078624119219,NA
"2020-03-05",0.541071149832045,0.452983462726859,0.497027306279452,NA
"2020-03-06",0.535824983294375,0.456347629968585,0.49608630663148,0.49438202247191
"2020-03-07",0.54043436857057,0.453236896559628,0.496835632565099,NA
"2020-03-08",0.544179018917862,0.451161856293252,0.497670437605557,NA
"2020-03-09",0.547302801935548,0.449583820751639,0.498443311343593,NA
"2020-03-10",0.549896921128111,0.448650411094544,0.499273666111327,NA
"2020-03-11",0.552006054970445,0.447876921330619,0.499941488150532,NA
"2020-03-12",0.554161231299351,0.447494115561239,0.500827673430295,NA
"2020-03-13",0.555639562145069,0.447812292035429,0.501725927090249,NA
"2020-03-14",0.557165585021941,0.447980396445399,0.50257299073367,NA
"2020-03-15",0.5585691011538,0.44826855614106,0.50341882864743,NA
"2020-03-16",0.559123620031285,0.449352967927566,0.504238293979425,NA
"2020-03-17",0.560006418844846,0.450335211003571,0.505170814924209,NA
"2020-03-18",0.560782115462893,0.451280975469086,0.506031545465989,NA
"2020-03-19",0.561401957599304,0.450486084172531,0.505944020885918,NA
"2020-03-20",0.561882411762747,0.44987915399979,0.505880782881269,NA
"2020-03-21",0.56247843165834,0.449386253225805,0.505932342442072,NA
"2020-03-22",0.562734852408195,0.448927165265372,0.505831008836784,NA
"2020-03-23",0.562241701771986,0.449380741133388,0.505811221452687,NA
"2020-03-24",0.562165606474598,0.449262747466748,0.505714176970673,NA
"2020-03-25",0.561330295641586,0.450186612859049,0.505758454250317,NA
"2020-03-26",0.560495932327023,0.45023209975716,0.505364016042092,NA
"2020-03-27",0.559240553740129,0.45059764429221,0.504919099016169,NA
"2020-03-28",0.558193995748356,0.451077236116884,0.50463561593262,NA
"2020-03-29",0.556969406470131,0.451519218472433,0.504244312471282,NA
"2020-03-30",0.555238702419572,0.452530709070597,0.503884705745084,NA
"2020-03-31",0.552555509878374,0.45447400004204,0.503514754960207,NA
"2020-04-01",0.553704055979821,0.455609912127859,0.50465698405384,NA
"2020-04-02",0.555077158445894,0.455918750155268,0.505497954300581,NA
"2020-04-03",0.556030697841727,0.456630573253311,0.506330635547519,NA
"2020-04-04",0.555721565012603,0.458588667407756,0.507155116210179,NA
"2020-04-05",0.555286944585138,0.460700347955856,0.507993646270497,NA
"2020-04-06",0.553756121044121,0.463975379928689,0.508865750486405,NA
"2020-04-07",0.556263555036406,0.470612843723272,0.513438199379839,NA
"2020-04-08",0.557950878068242,0.470888339241539,0.51441960865489,NA
"2020-04-09",0.558526628470727,0.472474696856538,0.515500662663632,NA
"2020-04-10",0.559099040694446,0.47390931034744,0.516504175520943,NA
"2020-04-11",0.558661340854264,0.475853003218892,0.517257172036578,NA
"2020-04-12",0.557526008003085,0.477520360498608,0.517523184250846,NA
"2020-04-13",0.555775754679137,0.479677681257083,0.51772671796811,NA
"2020-04-14",0.551850368886134,0.484049883873392,0.517950126379763,NA
"2020-04-15",0.551244797256412,0.48844926280927,0.519847030032841,NA
"2020-04-16",0.548559039404994,0.491465477449424,0.520012258427209,NA
"2020-04-17",0.54373857934447,0.49646456405196,0.520101571698215,0.516666666666667
"2020-04-18",0.548943440612264,0.493888568481243,0.521416004546753,NA
"2020-04-19",0.553341170104263,0.491906647612874,0.522623908858569,NA
"2020-04-20",0.556167121227928,0.49191004153354,0.524038581380734,NA
"2020-04-21",0.557883296125528,0.49282346812874,0.525353382127134,NA
"2020-04-22",0.558028130401769,0.495275488783405,0.526651809592587,NA
"2020-04-23",0.556683939550577,0.499370949494179,0.528027444522378,0.532608695652174
"2020-04-24",0.558879477338943,0.497280447958384,0.528079962648663,NA
"2020-04-25",0.560283708570401,0.493159485031406,0.526721596800904,NA
"2020-04-26",0.560432488714438,0.49020080513929,0.525316646926864,NA
"2020-04-27",0.562413833309454,0.487547743839188,0.524980788574321,NA
"2020-04-28",0.563477445862252,0.485974664333438,0.524726055097845,NA
"2020-04-29",0.564375885028567,0.485628479997308,0.525002182512938,NA
"2020-04-30",0.565000234600894,0.485069041453401,0.525034638027147,NA
"2020-05-01",0.564471046607703,0.485896022614447,0.525183534611075,NA
"2020-05-02",0.563217062321979,0.487509286085099,0.525363174203539,NA
"2020-05-03",0.561314179271896,0.487276729994965,0.524295454633431,NA
"2020-05-04",0.559771541486468,0.486154665491097,0.522963103488782,NA
"2020-05-05",0.557455141393763,0.486479059773296,0.52196710058353,NA
"2020-05-06",0.558613975167234,0.486370515346729,0.522492245256982,NA
"2020-05-07",0.557602587284181,0.488076940911292,0.522839764097736,NA
"2020-05-08",0.555576329079348,0.487948708525803,0.521762518802575,NA
"2020-05-09",0.552450379943587,0.489124745976957,0.520787562960272,NA
"2020-05-10",0.548263982951274,0.491281982986241,0.519772982968758,NA
"2020-05-11",0.541437952759455,0.492434195483462,0.516936074121459,0.479166666666667
"2020-05-12",0.545937437533571,0.500259351576956,0.523098394555263,0.551724137931034
"2020-05-13",0.546619878127897,0.489772610437377,0.518196244282637,NA
"2020-05-14",0.544081895410835,0.482716930562848,0.513399412986842,NA
"2020-05-15",0.539872050087762,0.477226267627588,0.508549158857675,NA
"2020-05-16",0.537229961804628,0.471775802898815,0.504502882351721,NA
"2020-05-17",0.534461196351357,0.468909107512619,0.501685151931988,NA
"2020-05-18",0.534190128256088,0.464697480651841,0.499443804453965,NA
"2020-05-19",0.531635188854027,0.460055615590982,0.495845402222505,NA
