"date","AK","AL","AZ","CA","CO","FL","GA","HI","IA","ID","IN","KS","KY","LA","MA","MD","ME","MI","MN","MO","MS","MT","NC","ND","NH","NJ","NM","NV","OH","OK","OR","PA","SC","TN","TX","UT","VA","WA","WI"
"2020-03-03",0.466721479357024,0.397349484135189,0.516401065128867,0.655505480445863,0.566797386865449,0.499639913679337,0.47745224581652,0.649507905584108,0.457368014706841,0.347728744492783,0.399327341264918,0.439447564698087,0.385904773948335,0.417166895796046,0.681882411068155,0.630905222663076,0.540266625912374,0.508226994456372,0.511993537571939,0.447690697051557,0.425449582477583,0.449432175054901,0.485655472637422,0.389939727972478,0.515655833580984,0.587799162758067,0.565968010291357,0.503451147328227,0.465658843365964,0.366535265894452,0.561352684216985,0.500460827513073,0.453668591731398,0.383560673990348,0.48692431406546,0.461765341186873,0.54441887548604,0.628019161509703,0.505228424309706
"2020-03-04",0.466251189886742,0.396894770853367,0.515795504150387,0.65508712241087,0.566340573144473,0.499143614291998,0.476999540434738,0.649087418088181,0.456884121844876,0.347290843906141,0.398870706624853,0.438980965480161,0.38543730996335,0.416678517679919,0.681472579561867,0.630463729353786,0.539787554986226,0.507745627186464,0.511505435031718,0.447208971405452,0.424978610425696,0.44897108852948,0.485188094437021,0.389488898379806,0.515197818160478,0.587338868394322,0.565502001561979,0.502993708966077,0.465203970765715,0.36612244047295,0.560876619827175,0.499977085547067,0.453203831162803,0.383106582714661,0.4864599564508,0.461323433790655,0.543936973275594,0.627588659831585,0.504759612687899
"2020-03-05",0.465830849623171,0.396493673311682,0.515243686865808,0.654692895479705,0.565953141164252,0.498767517871775,0.476594028382867,0.648713682874612,0.456585688201384,0.346899071283706,0.398461484935839,0.438591376019024,0.385031886293666,0.416278521851625,0.681095216008823,0.63008082097968,0.539380088563833,0.507320977105287,0.511081279943122,0.446790883075189,0.424568779339465,0.448581532606243,0.484780336882801,0.388978356977151,0.514773956179691,0.586954200551641,0.565105415616221,0.502557432066819,0.46478217457645,0.365735439966419,0.560488380631329,0.499567058030495,0.452771470602465,0.382720902531198,0.48604257395778,0.460920680479687,0.54354547867358,0.62723552374616,0.504342234317503
"2020-03-06",0.465324293894031,0.396002953308323,0.514596481054554,0.654255023742967,0.565448272903975,0.498274406375807,0.476099922664885,0.648268894805775,0.456182957127264,0.346441930819528,0.397968474564162,0.438093209001058,0.384544032059883,0.415787500971269,0.680652665131414,0.629607915525601,0.538882835801814,0.506847099344066,0.5105715089637,0.44626383732967,0.424041714280761,0.448066608534665,0.484269857404651,0.388399599268367,0.514265799544705,0.586463071016652,0.564598378903976,0.502035503041496,0.464266891961524,0.365255443971454,0.559991245043531,0.499055130447048,0.452290850535728,0.38225953070596,0.485529927373752,0.460405968086795,0.543041089256253,0.626768627507591,0.503845794490891
"2020-03-07",0.465776998880477,0.396450886499551,0.514925041447271,0.65466077752978,0.56590234491194,0.49870755978165,0.476562204579446,0.648703641316658,0.456747861243383,0.346842127895923,0.398372245888017,0.438536678386843,0.384950196246451,0.416253078763429,0.681027552224491,0.630021423623878,0.539327515617434,0.507430177605693,0.510983621557836,0.446708323657403,0.424479804257925,0.448491201206729,0.484741815666612,0.388745576152012,0.514723390908177,0.586904773185303,0.565043226002757,0.502480370690708,0.46471879603246,0.365670642203465,0.560419419106842,0.499525837363313,0.452724484767595,0.382682700901841,0.485977598941466,0.460875131812933,0.543496913811328,0.627176637070449,0.504380201742077
"2020-03-08",0.466265179302809,0.396894572373192,0.515263418022188,0.655084521731724,0.566377767075323,0.499183197460383,0.477064268663428,0.649138734101971,0.45732350900818,0.347278740575352,0.398817111147682,0.438995740936603,0.385409438332657,0.416717917355498,0.68145661604866,0.630483513812617,0.539802146378586,0.508025631495908,0.511453241159087,0.447189562938316,0.42496924124414,0.448968502316174,0.485212541452587,0.389130225177179,0.515208674004382,0.587361392517923,0.565503736891573,0.502936011410936,0.465192056079912,0.366109988327365,0.560915187902246,0.500044428135008,0.453190175118872,0.383139196333114,0.486456243427697,0.461343490706606,0.54396307196795,0.62765337179388,0.504969346298986
"2020-03-09",0.466718294528549,0.397297587576253,0.515599777036323,0.655496075558959,0.566808241763731,0.499651725454003,0.477516814379509,0.649560955709041,0.457863857136177,0.347703455500828,0.399225487944192,0.439461190035994,0.385849693175917,0.417172339080171,0.681847723328659,0.630906256158329,0.54025462543223,0.508596497087787,0.511917277723493,0.447638529244036,0.425395356385018,0.449416130903875,0.485646484015731,0.38948421017391,0.515651408826572,0.587792563337579,0.565965063304916,0.503400992855623,0.46564999264158,0.366536008297777,0.561351601981087,0.500521631737317,0.453650317317835,0.38356408701377,0.486908546697674,0.461790129446968,0.544434212385813,0.628076299607415,0.505498536845198
"2020-03-10",0.467186295963382,0.397783056995903,0.515974100305646,0.655937371766891,0.567317356044902,0.500130121562273,0.478012941053987,0.650001338280012,0.458442715373905,0.348141066105121,0.399681941967234,0.439952078798317,0.386332359865931,0.417653805945685,0.682270124066645,0.631348920183174,0.540766134676416,0.509226657189012,0.51241517145353,0.44811318594111,0.425904785851748,0.449906890445022,0.486133696893701,0.389873687610028,0.516152515869951,0.58827909816874,0.566461739809526,0.503908000421516,0.466170507665191,0.366989225775629,0.561844999378754,0.501032643628154,0.454135271012646,0.384030962215985,0.487404910433191,0.462288899631759,0.544924157836992,0.62853543364061,0.50608928179614
"2020-03-11",0.467653032199395,0.398228231378767,0.516302463160637,0.656337244188086,0.567767328327066,0.500585955855635,0.4784691481885,0.65039695843749,0.458999912873883,0.348521882459451,0.400113076137288,0.440413871646813,0.38676552500473,0.418089427707261,0.68267013473103,0.631786081069799,0.541213679326199,0.509824883728126,0.512857629018856,0.44854846737697,0.426357616856943,0.45036547039345,0.486608290916134,0.390216830820757,0.516613042100143,0.588711102015578,0.566901887885905,0.504365886028443,0.466631606446848,0.367389619217849,0.562297713349177,0.501516831662993,0.454580002015056,0.384483909848506,0.487860075483795,0.462747683000072,0.545405519311341,0.628951097588069,0.506619404843043
"2020-03-12",0.468133331034736,0.398692402967577,0.516669682090729,0.656760375192043,0.568235912979895,0.501069220169487,0.478955495140748,0.65083643671927,0.459585664895934,0.348950736866761,0.400587928024043,0.440895289133293,0.387232094612476,0.418554395512768,0.683081631887212,0.632246210054596,0.541694458290033,0.510430673427766,0.513355402031372,0.44900889020355,0.426830804303771,0.45085037829066,0.487086389133163,0.390592487823276,0.517123405049866,0.589188343093472,0.567369474217486,0.504853444640948,0.467101048240884,0.367830433605284,0.562783977064937,0.502033798873381,0.455066485225981,0.384961944219935,0.488335395725242,0.46323960439552,0.545890904145965,0.629386024764107,0.507195758128844
