"date","CILeft","CIRight","Pred","Poll"
"2020-03-03",0.48594179479402,0.33212577015297,0.409033782473495,NA
"2020-03-04",0.483590117169574,0.332782963060584,0.408186540115079,NA
"2020-03-05",0.481108140885348,0.333056057125099,0.407082099005224,NA
"2020-03-06",0.478982460975336,0.333209474228077,0.406095967601706,NA
"2020-03-07",0.479977013242777,0.333761037223041,0.406869025232909,NA
"2020-03-08",0.48154554008732,0.333885492346355,0.407715516216838,NA
"2020-03-09",0.482882005667052,0.334120052711821,0.408501029189436,NA
"2020-03-10",0.483638078942946,0.335102925914752,0.409370502428849,NA
"2020-03-11",0.484185323980436,0.335981997469076,0.410083660724756,NA
"2020-03-12",0.485153975599834,0.336808298062671,0.410981136831252,NA
"2020-03-13",0.485893786135538,0.337793296067353,0.411843541101446,NA
"2020-03-14",0.4862022768514,0.33919179544977,0.412697036150585,NA
"2020-03-15",0.486307284290243,0.340679388512002,0.413493336401123,NA
"2020-03-16",0.485992807411015,0.342584289506808,0.414288548458911,NA
"2020-03-17",0.485734977016425,0.344432483848782,0.415083730432604,NA
"2020-03-18",0.485323256495647,0.346445706288993,0.41588448139232,NA
"2020-03-19",0.484964141563508,0.346776934849426,0.415870538206467,NA
"2020-03-20",0.484419572834466,0.347230840582375,0.41582520670842,NA
"2020-03-21",0.484092372521829,0.34748843816137,0.415790405341599,NA
"2020-03-22",0.48345419890997,0.347956127417055,0.415705163163512,NA
"2020-03-23",0.4829596348708,0.348383924734196,0.415671779802498,NA
"2020-03-24",0.481663606878624,0.349391416796202,0.415527511837413,NA
"2020-03-25",0.480280365277172,0.350745142197249,0.41551275373721,NA
"2020-03-26",0.478402552391212,0.351703807456163,0.415053179923688,NA
"2020-03-27",0.476963215319602,0.352231299900842,0.414597257610222,NA
"2020-03-28",0.474900587497919,0.35363796813708,0.414269277817499,NA
"2020-03-29",0.473289182375483,0.354587022522983,0.413938102449233,NA
"2020-03-30",0.47116542256355,0.356042558152859,0.413603990358205,NA
"2020-03-31",0.468184220645693,0.358264523802909,0.413224372224301,NA
"2020-04-01",0.468913731033088,0.35960290807105,0.414258319552069,NA
"2020-04-02",0.468824646666917,0.361162509523026,0.414993578094972,NA
"2020-04-03",0.468534751316167,0.363112478164166,0.415823614740167,NA
"2020-04-04",0.467633824786013,0.365553287404757,0.416593556095385,NA
"2020-04-05",0.466056165509717,0.368729388172897,0.417392776841307,NA
"2020-04-06",0.464072539990867,0.372457816921544,0.418265178456206,NA
"2020-04-07",0.466061234139008,0.379389629942771,0.42272543204089,NA
"2020-04-08",0.465332620404397,0.38199952202318,0.423666071213789,NA
"2020-04-09",0.464013352677691,0.385519439744658,0.424766396211174,NA
"2020-04-10",0.461066175571675,0.390381092232332,0.425723633902004,NA
"2020-04-11",0.456863070335781,0.396106514468226,0.426484792402003,0.428571428571429
"2020-04-12",0.461637763724398,0.39142708705317,0.426532425388784,NA
"2020-04-13",0.465063820274177,0.387954939344827,0.426509379809502,NA
"2020-04-14",0.467297714710431,0.385658482502293,0.426478098606362,NA
"2020-04-15",0.471378326574979,0.384782588684977,0.428080457629978,NA
"2020-04-16",0.473219266067545,0.382778213757552,0.427998739912549,NA
"2020-04-17",0.474923337991629,0.380932763439366,0.427928050715497,NA
"2020-04-18",0.477996267627469,0.379617970634664,0.428807119131067,NA
"2020-04-19",0.480539534373914,0.378369465064156,0.429454499719035,NA
"2020-04-20",0.482740244003706,0.378088078058815,0.43041416103126,NA
"2020-04-21",0.484163528097898,0.378400394292435,0.431281961195167,NA
"2020-04-22",0.485497843287477,0.378694837054499,0.432096340170988,NA
"2020-04-23",0.485650650717093,0.380187755953696,0.432919203335394,NA
"2020-04-24",0.485840075678111,0.379718776261029,0.43277942596957,NA
"2020-04-25",0.485433416606054,0.377105558766478,0.431269487686266,NA
"2020-04-26",0.484469021066995,0.375183356006043,0.429826188536519,NA
"2020-04-27",0.485435579628207,0.373335049569665,0.429385314598936,NA
"2020-04-28",0.485565040247286,0.372423954743568,0.428994497495427,NA
"2020-04-29",0.486356866956014,0.371680363597195,0.429018615276605,NA
"2020-04-30",0.487187509489249,0.370587120456862,0.428887314973056,NA
"2020-05-01",0.487382405793247,0.370574691499541,0.428978548646394,NA
"2020-05-02",0.486202288926506,0.371773252776269,0.428987770851388,NA
"2020-05-03",0.484848146978049,0.370662693436617,0.427755420207333,NA
"2020-05-04",0.483914733239315,0.368650776911454,0.426282755075385,NA
"2020-05-05",0.482636129244891,0.367656822138286,0.425146475691589,NA
"2020-05-06",0.484062969740344,0.367014639862945,0.425538804801645,NA
"2020-05-07",0.484640240993661,0.367035061168173,0.425837651080917,NA
"2020-05-08",0.483810841513207,0.365556118871211,0.424683480192209,NA
"2020-05-09",0.482611063417911,0.364619335000465,0.423615199209188,NA
"2020-05-10",0.480727337808295,0.364241842480427,0.422484590144361,NA
"2020-05-11",0.47680060494391,0.362251517662786,0.419526061303348,NA
"2020-05-12",0.479770241934648,0.366731711573405,0.423250976754027,NA
"2020-05-13",0.476584219770536,0.360485927017847,0.418535073394191,NA
"2020-05-14",0.472637638448281,0.355252860747097,0.413945249597689,NA
"2020-05-15",0.467424903159102,0.351071845927378,0.40924837454324,NA
"2020-05-16",0.4634022044098,0.347371625986964,0.405386915198382,NA
"2020-05-17",0.460620571480728,0.344773780876393,0.402697176178561,NA
"2020-05-18",0.460056532091142,0.341127567348228,0.400592049719685,NA
"2020-05-19",0.456605613910251,0.33775738909491,0.397181501502581,NA
"2020-05-20",0.456491323800563,0.337850098242791,0.397170711021677,NA
