"date","CILeft","CIRight","Pred","Poll","PollDiff"
"2020-03-03",0.571159743310213,0.377245649079965,0.474202696195089,NA,NA
"2020-03-04",0.567731629435336,0.378300246452558,0.473015937943947,NA,NA
"2020-03-05",0.565991630406141,0.378761551509956,0.472376590958048,NA,NA
"2020-03-06",0.562527872781798,0.380488098568337,0.471507985675067,NA,NA
"2020-03-07",0.564024796477729,0.380953749895851,0.47248927318679,NA,NA
"2020-03-08",0.565913471185352,0.38108491575199,0.473499193468671,NA,NA
"2020-03-09",0.567408153127761,0.381758878436564,0.474583515782162,NA,NA
"2020-03-10",0.567967186161279,0.383066235171315,0.475516710666297,NA,NA
"2020-03-11",0.56859233697952,0.384471557124675,0.476531947052097,NA,NA
"2020-03-12",0.569116186177819,0.385854043559975,0.477485114868897,NA,NA
"2020-03-13",0.568800111066929,0.388039747817736,0.478419929442332,NA,NA
"2020-03-14",0.568941712631286,0.389795318135281,0.479368515383284,NA,NA
"2020-03-15",0.56801994585391,0.392652028953017,0.480335987403464,NA,NA
"2020-03-16",0.566491084379907,0.396096605438821,0.481293844909364,NA,NA
"2020-03-17",0.564932751274411,0.399973629788884,0.482453190531647,NA,NA
"2020-03-18",0.562827250645695,0.404356678359242,0.483591964502469,NA,NA
"2020-03-19",0.562615208364406,0.405369205824709,0.483992207094557,NA,NA
"2020-03-20",0.561613504807822,0.407428903875132,0.484521204341477,NA,NA
"2020-03-21",0.560791318102486,0.409231692402865,0.485011505252676,NA,NA
"2020-03-22",0.559028907053426,0.411964700536662,0.485496803795044,NA,NA
"2020-03-23",0.556857076054064,0.415176950290569,0.486017013172317,NA,NA
"2020-03-24",0.553901031540063,0.418966286238828,0.486433658889446,NA,NA
"2020-03-25",0.550969229611532,0.42297366849578,0.486971449053656,NA,NA
"2020-03-26",0.548378009429187,0.426093068740019,0.487235539084603,NA,NA
"2020-03-27",0.544797482560907,0.430157564226303,0.487477523393605,NA,NA
"2020-03-28",0.540447736042976,0.434745930665894,0.487596833354435,NA,NA
"2020-03-29",0.535025009494047,0.440823873840674,0.48792444166736,NA,NA
"2020-03-30",0.528007880870449,0.44848346570069,0.48824567328557,NA,NA
"2020-03-31",0.517894923069766,0.459087942200297,0.488491432635032,0.48936170212766,-2
"2020-04-01",0.526312353051806,0.44960285300479,0.487957603028298,NA,NA
"2020-04-02",0.53188553666113,0.442936168554966,0.487410852608048,NA,NA
"2020-04-03",0.535953661260191,0.43790465927632,0.486929160268256,NA,NA
"2020-04-04",0.53906911056988,0.433682788051525,0.486375949310703,NA,NA
"2020-04-05",0.539987010269379,0.431842602604203,0.485914806436791,NA,NA
"2020-04-06",0.539562637324347,0.431362818760031,0.485462728042189,NA,NA
"2020-04-07",0.545909856834116,0.435660393701111,0.490785125267614,NA,NA
"2020-04-08",0.549010411907413,0.432389560067753,0.490699985987583,NA,NA
"2020-04-09",0.550346307910188,0.430974881605529,0.490660594757859,NA,NA
"2020-04-10",0.550065705223611,0.431211879145205,0.490638792184408,NA,NA
"2020-04-11",0.551758914021942,0.430830411633778,0.49129466282786,NA,NA
"2020-04-12",0.552267648227845,0.431087106191239,0.491677377209542,NA,NA
"2020-04-13",0.549952653315284,0.433915096678061,0.491933874996672,NA,NA
"2020-04-14",0.547077581498104,0.437293355091891,0.492185468294998,NA,NA
"2020-04-15",0.549775121319858,0.438619329261401,0.494197225290629,NA,NA
"2020-04-16",0.550423379980444,0.435546852374273,0.492985116177358,NA,NA
"2020-04-17",0.548682603595107,0.435093262996962,0.491887933296034,NA,NA
"2020-04-18",0.550698863784997,0.43699215691509,0.493845510350043,NA,NA
"2020-04-19",0.553864634027675,0.437527866751861,0.495696250389768,NA,NA
"2020-04-20",0.555309104336993,0.439817726656126,0.49756341549656,NA,NA
"2020-04-21",0.55573836309701,0.443227058018767,0.499482710557889,NA,NA
"2020-04-22",0.554156233774968,0.448587890449417,0.501372062112192,NA,NA
"2020-04-23",0.551658478985369,0.455431809435062,0.503545144210215,NA,NA
"2020-04-24",0.547516832579491,0.458551555810869,0.50303419419518,NA,NA
"2020-04-25",0.542202228755679,0.459625594204838,0.500913911480258,NA,NA
"2020-04-26",0.534016409114618,0.463889729590193,0.498953069352406,0.49438202247191,-1
"2020-04-27",0.539964317612472,0.45746803292552,0.498716175268996,NA,NA
"2020-04-28",0.543626697131105,0.453564366125789,0.498595531628447,NA,NA
"2020-04-29",0.546420260501112,0.4514165548718,0.498918407686456,NA,NA
"2020-04-30",0.54754239473354,0.451173692645435,0.499358043689488,NA,NA
"2020-05-01",0.546967896085008,0.452543739124471,0.49975581760474,NA,NA
"2020-05-02",0.543378180633217,0.456642607846442,0.50001039423983,NA,NA
"2020-05-03",0.539780119506412,0.457742171135924,0.498761145321168,NA,NA
"2020-05-04",0.536596393609146,0.458987305211368,0.497791849410257,NA,NA
"2020-05-05",0.530029733397055,0.463393509807911,0.496711621602483,0.505376344086022,1
"2020-05-06",0.536220562756367,0.458927361185978,0.497573961971173,NA,NA
"2020-05-07",0.538666305937457,0.458406748190137,0.498536527063797,NA,NA
"2020-05-08",0.538696740487838,0.455183325433314,0.496940032960576,NA,NA
"2020-05-09",0.536308482636561,0.45403696372083,0.495172723178696,NA,NA
"2020-05-10",0.53254772984255,0.453745017187123,0.493146373514837,NA,NA
"2020-05-11",0.525384720201501,0.450681911737853,0.488033315969677,NA,NA
"2020-05-12",0.526386887033247,0.464063386276375,0.495225136654811,0.48936170212766,-2
"2020-05-13",0.530495821915172,0.451014956623588,0.49075538926938,NA,NA
