"","year","state","total_votes","demshare","rep","other","ev","result","dem_2","gop_2","diff"
"1",2016,"ak",318608,0.36550871290112,0.512815120775373,0.092797418771657,3,0,0.416143452889319,0.583856547110681,-0.167713094221361
"2",2016,"al",2123372,0.343579457579736,0.620830923644091,0.02536437327044,9,0,0.356258564060392,0.643741435939608,-0.287482871879216
"3",2016,"ar",1130635,0.336531241293609,0.605741021638283,0.057727737068108,6,0,0.357148623102295,0.642851376897705,-0.28570275379541
"4",2016,"az",2573165,0.451260218446932,0.48671616472321,0.054668861110733,11,0,0.481099765989606,0.518900234010394,-0.0378004680207887
"5",2016,"ca",14181595,0.617263996045579,0.316171065384394,0.058051157151223,55,1,0.661282205427299,0.338717794572701,0.322564410854598
"6",2016,"co",2780220,0.481569803828474,0.43251397371431,0.085916222457216,9,1,0.526833333726825,0.473166666273175,0.0536666674536492
"7",2016,"ct",1644920,0.545663010967099,0.409269143788148,0.04347749434623,7,1,0.571415475172636,0.428584524827364,0.142830950345273
"8",2016,"dc",312575,0.904838838678717,0.040703831080541,0.033499160201552,3,1,0.956951883418541,0.0430481165814595,0.913903766837081
"9",2016,"de",441590,0.533533368056342,0.419228243393193,0.047238388550465,3,1,0.559986214436812,0.440013785563188,0.119972428873624
"10",2016,"fl",9420039,0.47823315805805,0.490219414165907,0.031531185805069,29,0,0.493811645272245,0.506188354727755,-0.0123767094555098
"11",2016,"ga",4114732,0.456399833573608,0.50771326054771,0.030453016138111,16,0,0.473388274006968,0.526611725993032,-0.0532234519860644
"12",2016,"hi",437664,0.60980798055129,0.294397071726256,0.095794947722454,4,1,0.674413374505354,0.325586625494646,0.348826749010708
"13",2016,"ia",1565580,0.417525134454962,0.511620613446774,0.059519155840008,6,0,0.449364521548796,0.550635478451204,-0.101270956902408
"14",2016,"id",690255,0.274920138209792,0.592614323691969,0.132465538098239,4,0,0.316898233191944,0.683101766808056,-0.366203533616112
"15",2016,"il",5536424,0.558253666987933,0.387617530738253,0.051729780811585,20,1,0.590200513907115,0.409799486092885,0.180401027814229
"16",2016,"in",2734958,0.37774839686752,0.569400334484113,0.04899270848035,11,0,0.398826904754919,0.601173095245081,-0.202346190490162
"17",2016,"ks",1184402,0.360523707322345,0.566545818058396,0.066626027311673,6,0,0.388885296573933,0.611114703426067,-0.222229406852133
"18",2016,"ky",1924149,0.326821883336478,0.625196385519001,0.047591428730312,8,0,0.343293709824902,0.656706290175098,-0.313412580350197
"19",2016,"la",2029032,0.38449566098514,0.580886846535688,0.034617492479172,8,0,0.398283227621922,0.601716772378078,-0.203433544756155
"20",2016,"ma",3378821,0.590500650966713,0.322862027908551,0.085811589308815,11,1,0.646512786896295,0.353487213103705,0.293025573792591
"21",2016,"md",2781446,0.603257442351928,0.339093047285477,0.041543139791317,10,1,0.640162496847694,0.359837503152306,0.280324993695388
"22",2016,"me",771892,0.46345214097309,0.434766780844989,0.101781078181922,4,1,0.515967911291625,0.484032088708375,0.0319358225832508
"23",2016,"mi",4799284,0.472745309508668,0.474975642199961,0.05041314496079,16,0,0.498823317830385,0.501176682169615,-0.00235336433923083
"24",2016,"mn",2944782,0.46445033961767,0.449251931042773,0.077045091962665,10,1,0.508316937071805,0.491683062928195,0.0166338741436106
"25",2016,"mo",2808605,0.381352308352367,0.567723478381617,0.048376329174092,10,0,0.401814390044339,0.598185609955661,-0.196371219911322
